,precision,recall,f1-score,support
0,0.989010989010989,0.9278350515463918,0.9574468085106383,97.0
1,0.9795918367346939,1.0,0.9896907216494846,48.0
2,0.9423076923076923,0.9702970297029703,0.9560975609756097,101.0
3,0.9759036144578314,1.0,0.9878048780487805,81.0
accuracy,0.9694189602446484,0.9694189602446484,0.9694189602446484,0.9694189602446484
macro avg,0.9717035331278017,0.9745330203123406,0.9727599922961283,327.0
weighted avg,0.9699564030320872,0.9694189602446484,0.9692830087009021,327.0
