epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.8439798951148987,0.0010000000474974513,0.404037743806839,0.888501763343811,0.38255763053894043
1,0.9519938230514526,0.0010000000474974513,0.12933661043643951,0.9303135871887207,0.3415755033493042
2,0.9667053818702698,0.0010000000474974513,0.09099803864955902,0.9059233665466309,0.4095146954059601
3,0.978706955909729,0.0010000000474974513,0.06054089218378067,0.9477351903915405,0.1762082725763321
4,0.9748354554176331,0.0010000000474974513,0.07707475125789642,0.7944250702857971,0.6086889505386353
5,0.9829655289649963,0.0010000000474974513,0.05032317340373993,0.9268292784690857,0.3162137567996979
6,0.992644190788269,0.0003000000142492354,0.01975768245756626,0.9512194991111755,0.1921401470899582
7,0.9992257356643677,0.0003000000142492354,0.004037071019411087,0.9547038078308105,0.170225128531456
8,0.9992257356643677,0.0003000000142492354,0.004000857938081026,0.9651567935943604,0.13121028244495392
9,0.9996128678321838,0.0003000000142492354,0.0021549277007579803,0.9651567935943604,0.1366623342037201
10,1.0,0.0003000000142492354,0.001249352702870965,0.9651567935943604,0.1322730928659439
11,0.9996128678321838,9.000000136438757e-05,0.00132752675563097,0.9651567935943604,0.13661067187786102
12,0.9996128678321838,9.000000136438757e-05,0.0012498823925852776,0.9651567935943604,0.13693538308143616
