,precision,recall,f1-score,support
glioma,1.0,0.29,0.4496124031007752,100.0
no_tumor,0.7835820895522388,1.0,0.8786610878661087,105.0
meningioma,0.6440677966101694,0.991304347826087,0.7808219178082192,115.0
pituitary,0.9814814814814815,0.7162162162162162,0.828125,74.0
accuracy,0.7639593908629442,0.7639593908629442,0.7639593908629442,0.7639593908629442
macro avg,0.8522828419109725,0.7493801410105758,0.7343051021937758,394.0
weighted avg,0.8349582376720411,0.7639593908629442,0.7317168149339192,394.0
